app_lang_sign	en	pl	de	es	pt	fr	it	tr	id	th	ja	ko	zh	ar	ru	uk	vi	hi	bn	ur
app_lang_en_word	english	polish	german	spanish	portuguese	french	italian	turkish	indonesian	thai	japanese	korean	chinese	arabic	russian	ukrainian	vietnamese	hindi	bengali	urdu
app_lang_word	english	polski	deutsch	español	português	français	italiano	Türkçe	bahasa Indonesia	แบบไทย	日本語	한국인	中国人	عربي	русский	українська	Tiếng Việt	हिंदी	বাংলা	اردو
app_name_ads	110 Talking Battery	110 Mówiąca Bateria	110 Sprechende Batterie	110 Batería Parlante	110 Bateria Falante	110 Batterie Parlante	110 Batteria Parlante	110 Konuşan Pil	110 Baterai Berbicara	110 แบตเตอรี่พูดได้	110 トーキングバッテリー	110 말하는 배터리	110 会说话的电池	110 بطارية ناطقة	110 Говорящая батарея	110 Розмовна батарея	110 Nói Pin	110 बात करने वाली बैटरी	110 টকিং ব্যাটারি	110 بات کرنے والی بیٹری
app_name_plus	110 Talking Battery Plus	110 Mówiąca Bateria Plus	110 Sprechende Batterie Plus	110 Batería Parlante Plus	110 Bateria Falante Plus	110 Batterie Parlante Plus	110 Batteria Parlante Plus	110 Konuşan Pil Artı	110 Baterai Berbicara Plus	110 พูดคุยแบตเตอรี่พลัส	110 トーキングバッテリープラス	110 말하는 배터리 플러스	110 会说话的电池+	110 بطارية ناطقة بلس	110 Говорящая Батарея Плюс	110 Talking Battery Plus	Pin nói chuyện 110 Plus	110 टॉकिंग बैटरी प्लस	110 টকিং ব্যাটারি প্লাস	110 ٹاکنگ بیٹری پلس
app_rights_reserved	All rights reserved	Wszystkie prawa zastrzeżone	Alle Rechte vorbehalten	Reservados todos los derechos	Todos os direitos reservados	Tous droits réservés	Tutti i diritti riservati	Her hakkı saklıdır	Seluruh hak cipta	สงวนลิขสิทธิ์	無断転載を禁じます	판권 소유	版权所有	كل الحقوق محفوظة	Все права защищены	Всі права захищені	Đã đăng ký Bản quyền	सर्वाधिकार सुरक्षित	সমস্ত অধিকার সংরক্ষিত	جملہ حقوق محفوظ ہیں
app_notifications_word	Notifications	Powiadomienia	Benachrichtigungen	Notificaciones	Notificações	Notifications	Notifiche	Bildirimler	Pemberitahuan	การแจ้งเตือน	通知	알림	通知	إشعارات	Уведомления	Сповіщення	Thông báo	सूचनाएं	বিজ্ঞপ্তি	اطلاعات
app_notifications_description	Notifications about phones battery parameters	Powiadomienia o parametrach baterii telefonu	Benachrichtigungen über die Akkuparameter des Telefons	Notificaciones sobre parámetros de batería de teléfonos.	Notificações sobre parâmetros de bateria de telefones	Notifications sur les paramètres de la batterie des téléphones	Notifiche sui parametri della batteria del telefono	Telefonların pil parametreleriyle ilgili bildirimler	Pemberitahuan tentang parameter baterai ponsel	การแจ้งเตือนเกี่ยวกับพารามิเตอร์แบตเตอรี่ของโทรศัพท์	電話機のバッテリーパラメータに関する通知	휴대폰 배터리 매개변수에 대한 알림	关于手机电池参数的通知	إخطارات حول معلمات بطارية الهواتف	Уведомления о параметрах батареи телефона	Повідомлення про параметри батареї телефону	Thông báo về thông số pin điện thoại	फ़ोन बैटरी पैरामीटर के बारे में सूचनाएं	ফোনের ব্যাটারি প্যারামিটার সম্পর্কে বিজ্ঞপ্তি	فون کی بیٹری کے پیرامیٹرز کے بارے میں اطلاعات
app_about_name	Name	Nazwa	Name	Nombre	Nome	Nom	Nome	İsim	Nama	ชื่อ	名前	이름	姓名	اسم	Имя	Ім\'я	Tên	नाम	নাম	نام
app_about_version	Version	Wersja	Ausführung	Versión	Versão	Version	Versione	Sürüm	Versi: kapan	เวอร์ชัน	バージョン	버전	版本	إصدار	Версия	Версія	Phiên bản	संस्करण	সংস্করণ	ورژن
app_about_producer	Producer	Producent	Hersteller	Productor	Produtor	Producteur	Produttore	Üretici	Produsen	ผู้ผลิต	プロデューサー	생산자	制片人	منتج	Режиссер	Продюсер	Nhà sản xuất	निर्माता	প্রযোজক	پروڈیوسر
